subject-id,DSC,ASD,HD95,NSD,model,anatomy
sub-verse138_vert-21-seg-vert_msk,0.9,0.52,2.0,0.91,TwoDPermuteConcat,vertebra
s0607_hip_msk,0.87,0.75,2.83,0.5,UNETR,hip
s0392_rib_msk,0.59,0.81,3.74,0.53,SwinUNETR,rib
sub-verse138_vert-22-seg-vert_msk,0.89,0.61,2.0,0.9,TLPredictor,vertebra
s1120_hip_msk,0.71,1.57,5.0,0.36,SwinUNETR,hip
s0918_femur_left_msk,0.83,2.22,8.12,0.44,AttentionUnet,femur
s1018_rib_msk,0.51,0.88,10.77,0.49,MultiScale2DPermuteConcat,rib
sub-verse138_vert-22-seg-vert_msk,0.9,0.58,1.73,0.91,UNETR,vertebra
s0918_femur_left_msk,0.81,2.33,9.06,0.46,SwinUNETR,femur
s1120_hip_msk,0.61,2.08,7.07,0.2,OneDConcat,hip
s1018_rib_msk,0.34,1.45,7.35,0.37,UNETR,rib
s1018_rib_msk,0.21,1.82,17.12,0.28,OneDConcat,rib
s1120_hip_msk,0.63,2.1,5.83,0.22,TLPredictor,hip
sub-verse138_vert-22-seg-vert_msk,0.9,0.5,1.41,0.93,MultiScale2DPermuteConcat,vertebra
s0918_femur_left_msk,0.65,4.13,15.07,0.24,TLPredictor,femur
s0918_femur_left_msk,0.83,2.43,7.81,0.46,UNETR,femur
s1018_rib_msk,0.44,1.07,6.78,0.45,TwoDPermuteConcat,rib
sub-verse138_vert-22-seg-vert_msk,0.88,0.62,2.0,0.89,OneDConcat,vertebra
s1120_hip_msk,0.76,1.47,4.12,0.36,TwoDPermuteConcat,hip
s1120_hip_msk,0.68,1.75,5.2,0.3,MultiScale2DPermuteConcat,hip
sub-verse138_vert-22-seg-vert_msk,0.9,0.51,1.73,0.93,TwoDPermuteConcat,vertebra
s1018_rib_msk,0.43,1.24,3.46,0.46,UNet,rib
s0918_femur_left_msk,0.74,2.37,20.12,0.38,TwoDPermuteConcat,femur
sub-verse138_vert-22-seg-vert_msk,0.92,0.43,1.41,0.94,AttentionUnet,vertebra
s1120_hip_msk,0.69,1.63,5.1,0.28,UNet,hip
s1018_rib_msk,0.49,0.98,4.69,0.48,SwinUNETR,rib
s0918_femur_left_msk,0.86,1.94,5.2,0.51,MultiScale2DPermuteConcat,femur
s1018_rib_msk,0.28,1.68,9.94,0.31,TLPredictor,rib
sub-verse138_vert-22-seg-vert_msk,0.9,0.54,1.73,0.93,UNet,vertebra
s0918_femur_left_msk,0.82,2.2,7.48,0.41,UNet,femur
s1120_hip_msk,0.72,1.29,4.9,0.33,AttentionUnet,hip
s0918_femur_left_msk,0.69,3.89,13.93,0.32,OneDConcat,femur
s1018_rib_msk,0.45,0.88,4.69,0.45,AttentionUnet,rib
s1120_hip_msk,0.7,1.6,5.0,0.3,UNETR,hip
sub-verse138_vert-22-seg-vert_msk,0.91,0.46,1.41,0.93,SwinUNETR,vertebra
s0763_hip_msk,0.86,0.73,3.0,0.51,UNETR,hip
s0918_femur_right_msk,0.92,1.26,3.32,0.72,OneDConcat,femur
s0798_rib_msk,0.46,1.15,5.2,0.5,UNet,rib
sub-verse138_vert-23-seg-vert_msk,0.86,0.78,2.24,0.84,OneDConcat,vertebra
s0763_hip_msk,0.81,1.06,3.46,0.37,TLPredictor,hip
s0798_rib_msk,0.29,1.69,4.24,0.39,TLPredictor,rib
s0918_femur_right_msk,0.93,1.1,3.0,0.79,TLPredictor,femur
sub-verse138_vert-23-seg-vert_msk,0.9,0.58,1.73,0.93,SwinUNETR,vertebra
